h (cm) (massa 1.4kg),t1,t2,t3
22,1.9507,1.9512,1.9506
19,1.9570,1.9562,1.9563
16,1.9672,1.9665,1.9663
13,1.9746,1.9754,1.9747
10,1.9852,1.9847,1.9846
