vi,vf,deltaP,J,Eki,Ekf,deltaEk,m
0.280,-0.270,-0.14,-0.14,0.00060,0.00929,0.00869,0.255
0.142,-0.120,-0.07,-0.06,0.00080,0.00184,0.00104,
0.207,-0.191,-0.10,-0.10,0.00546,0.00465,-0.00081,
0.304,-0.292,-0.15,-0.15,0.01178,0.01087,-0.00091,
0.416,-0.405,-0.21,-0.20,0.02206,0.02091,-0.00115,
